trial,log_loss,xgb_depth,xgb_lr,lgb_num_leaves,lgb_lr
140,0.3608421040823993,3,0.25760715785609933,52,0.011683299151158101
141,0.35969156198420865,3,0.2482621033270036,235,0.012498377081998522
142,0.3602303346949447,3,0.22222936580446198,246,0.012471500713124094
143,0.36069451042560424,3,0.2433226866780693,231,0.010742676702333394
144,0.35946593923401854,3,0.27925915341356883,255,0.0131560767379284
145,0.36101610091519293,3,0.2770684130516419,240,0.012978770373398205
146,0.36018208290370113,3,0.2990724937043875,254,0.011610718828616645
147,0.3606572798787241,3,0.19555972646625858,249,0.01004732913971447
148,0.3701394587840503,3,0.2613247870230757,253,0.01469609090263801
149,0.3598820160244215,3,0.27944000108445083,243,0.013136568362162569
150,0.3610663298645439,3,0.1576709915705519,227,0.011160640831207994
151,0.35995678278525733,3,0.24684385149601443,238,0.016585349738823543
152,0.3602222039860666,3,0.2264231502195927,222,0.01559406765159313
153,0.3605255956160232,3,0.20020728879289607,215,0.020679317246704746
154,0.3618757551780364,3,0.25993712677734443,247,0.012172986042807954
155,0.3597893044866954,3,0.21326975870333742,234,0.01393562958456117
156,0.3591310912775819,3,0.23897343673714008,230,0.01489625058381988
157,0.35956755887097264,3,0.22998295645875316,230,0.015145155651590945
158,0.35930676714535076,3,0.23009090494917891,230,0.015346821360799678
159,0.36099988513145426,3,0.18171036870151303,227,0.015838387688653987
160,0.3599115496168469,3,0.2292399082766643,223,0.014851122147054184
161,0.35910337505156853,3,0.27646031131015686,230,0.012594289010311064
162,0.363437471388336,7,0.2808135741845397,232,0.013016360750788382
163,0.35953197538761505,3,0.26857382494001636,230,0.01844919714154919
164,0.35960330955616165,3,0.27422244376680377,220,0.019109163578706085
165,0.35933857123754626,3,0.29681636719320426,212,0.01839114488527766
166,0.36077219961522994,3,0.29989610717408177,211,0.018639337854527226
167,0.35989908642281954,3,0.2750467350965498,220,0.022035885043545745
168,0.35890414313755653,3,0.2634824603954579,208,0.018575981129598757
169,0.35913174217624466,3,0.2656723872213022,203,0.019443272634223168
170,0.36050830170682724,3,0.23034451632709543,201,0.01769182721332398
171,0.3598572221605395,3,0.2672277105482919,193,0.019381070892932565
172,0.3600084014792463,3,0.2992711672236267,197,0.018486355634933994
173,0.3594508777294157,3,0.28095553335957485,205,0.016431850651516543
174,0.35938725042098485,3,0.2846231302859726,206,0.016338196773902598
175,0.3695953018484128,3,0.2833689394788412,205,0.016605416461020747
176,0.3589262276087056,3,0.25888467294634904,208,0.021698136764628808
177,0.35912492727672757,3,0.2593946789769269,187,0.021775822624501888
178,0.3599247981268815,3,0.2575048089596445,186,0.025699795103908834
179,0.35971397104223746,3,0.2372987277683882,200,0.02177359398244811
180,0.35950446940285885,3,0.29996294933933937,208,0.0247269643295401
181,0.35999478900066795,3,0.29728545046194504,208,0.022111505995588438
182,0.3595030340023243,3,0.2618582874321613,194,0.02434665369043449
183,0.3596970761966967,3,0.2583912685209225,194,0.02025109396317804
184,0.3597771532153328,3,0.21943980389972542,188,0.016580955986567784
185,0.3594468967278688,3,0.23949611301100734,183,0.02306786123540183
186,0.35857200906271525,3,0.24659177291225673,173,0.021260406372647492
187,0.3609430060639951,3,0.24466275981905208,172,0.021212986409393734
188,0.360123820787372,3,0.27585438862633616,179,0.022909631342993435
189,0.36148346459328795,3,0.23961902403130506,166,0.019926887383203695
190,0.35911891073012814,3,0.2607360826379714,182,0.017623973591863185
191,0.35966260175793585,3,0.25654357419222074,176,0.01764086664810539
192,0.3595392407615823,3,0.27571567264967534,185,0.01589077425197232
193,0.359473393993017,3,0.23902479338050733,171,0.027728892527843746
194,0.3595577430801392,3,0.23841295236948,162,0.028191910050565677
195,0.3595552968302475,3,0.2188054390627787,182,0.02264143278711051
196,0.3599050402571238,3,0.25217678058419457,179,0.02677322006664665
197,0.3602055744894584,3,0.23603196905499801,170,0.02079249059848716
198,0.35952387097289285,3,0.2630856561288729,171,0.017453356863543323
199,0.3588291192808685,3,0.27887416869659004,156,0.02353081663314514
200,0.3591047077981727,3,0.27088312167917244,155,0.019609864311890147
201,0.36026847974291837,3,0.27335544166648157,153,0.02383878463862349
202,0.3597281991852172,3,0.28294163768009656,156,0.01960765500351091
203,0.35907577738543595,3,0.2531161707905311,153,0.02100085981799344
204,0.3590076502068469,3,0.28331123791790586,142,0.02032976781553759
205,0.35881806267924543,3,0.2543820480129687,154,0.021438338356085905
206,0.3590799924270974,3,0.22531642811063496,152,0.02156614494336784
207,0.3616047466568419,3,0.22307434097751389,140,0.021324342269052596
208,0.36000092059496014,3,0.25665163786555645,145,0.019985168542794376
209,0.35919221488217196,3,0.21139237228044397,157,0.024956843560317788
210,0.35966872715893944,3,0.21002898375657458,150,0.021667451623019616
211,0.359721942120951,3,0.2215706809997057,156,0.02342231250115677
212,0.36926651046180725,3,0.19610784179766183,148,0.02542305404936842
213,0.36004393119610517,3,0.25466371066822396,130,0.021306457945279342
214,0.3594147719711029,3,0.23090897340542882,160,0.019088899618880578
215,0.35895701645734995,3,0.22271393729604252,141,0.019386600015619707
216,0.3598439632746934,3,0.20650374115612283,138,0.019419191978383953
217,0.36029135493995884,3,0.2639342234710403,142,0.024787993177063705
